Var1,n
people,26
balance,10
impact,10
worklife-balance,10
fast,9
manager,9
time,9
worklife,9
environment,8
team,8
fb,7
hours,7
managers,7
move,7
pressure,7
process,7
teams,7
"
",6
career,6
engineering,6
hard,6
internal,6
management,6
performance,6
review,6
constant,5
difficult,5
amount,4
business,4
conversations,4
culture,4
expectations,4
feedback,4
growing,4
incorrect,4
it’s,4
leave,4
level,4
life,4
means,4
office,4
personal,4
progression,4
quality,4
talk,4
week,4
bonus,3
challenge,3
change,3
constantly,3
direction,3
easy,3
employees,3
experience,3
feel,3
flat,3
grow,3
internally,3
interpretation,3
issues,3
london,3
majority,3
makes,3
negative,3
org,3
pay,3
perfect,3
pip,3
politics,3
requires,3
rest,3
result,3
roles,3
salary,3
senior,3
set,3
speed,3
system,3
tech,3
term,3
times,3
told,3
tough,3
understanding,3
workload,3
fast-paced,3
incorrect-interpretation,3
move-fast,3
actual,2
add,2
bias,2
build,2
building,2
can’t,2
care,2
careful,2
centric,2
challenging,2
class,2
colleagues,2
compared,2
cope,2
coworkers,2
crappy,2
cycle,2
day,2
diluted,2
don’t,2
drive,2
efforts,2
encouraged,2
engineers,2
expected,2
extra,2
fair,2
fairly,2
fixing,2
food,2
goals,2
grows,2
growth,2
harder,2
health,2
hierarchy,2
highly,2
hired,2
hiring,2
hit,2
incident,2
incredibly,2
intelligent,2
intense,2
intensity,2
knowledge,2
late,2
leadership,2
literally,2
maintain,2
meetings,2
mission,2
moving,2
night,2
offer,2
opportunities,2
orgs,2
paced,2
perform,2
positive,2
practices,2
press,2
projects,2
proper,2
quickly,2
reality,2
removing,2
risks,2
services,2
short,2
significant,2
single,2
spend,2
standard,2
support,2
switch,2
targets,2
tasks,2
track,2
variable,2
world,2
career-progression,2
company-values,2
engineering-practices,2
growing-pains,2
life-balance,2
negative-impact,2
performance-cycle,2
pressure-environment,2
review-process,2
short-term,2
significant-impact,2
tech-debt,2
tough-conversations,2
